"logFC" "logCPM" "LR" "PValue" "FDR" "gene_name" "gene_type"
"ENSG00000008438" -2.44309635957267 -1.43899270745054 34.1734679414391 5.04116075699743e-09 5.2966476596169e-08 "PGLYRP1" "protein_coding"
"ENSG00000008735" 3.21795125016774 3.94566201973663 90.1821860422834 2.17208981080225e-21 1.23976465757755e-19 "MAPK8IP2" "protein_coding"
"ENSG00000009765" -1.5709224240224 7.78310758063552 53.7292511649776 2.30111598347441e-13 4.71936787096635e-12 "IYD" "protein_coding"
"ENSG00000010310" 1.96021700904337 1.53940904162951 18.9702842123951 1.32770199720535e-05 7.42404654968446e-05 "GIPR" "protein_coding"
"ENSG00000010610" -1.97712606982033 7.32906982604927 212.067724817262 4.8613526655554e-48 3.60146863494544e-45 "CD4" "protein_coding"
"ENSG00000010932" 2.176968673529 5.40863484458178 25.9213550556169 3.55613280433162e-07 2.71256938285443e-06 "FMO1" "protein_coding"
"ENSG00000011083" 3.89269308450587 -0.713706030254861 18.7310753594488 1.50509609874783e-05 8.34017607703328e-05 "SLC6A7" "protein_coding"
"ENSG00000011332" 2.64559102371599 -1.09668865983984 15.6150694197769 7.76334230187265e-05 0.000368388351503633 "DPF1" "protein_coding"
"ENSG00000011426" 3.74505192957661 6.75484315961941 188.712682730709 6.07196830698657e-43 2.37009162916042e-40 "ANLN" "protein_coding"
"ENSG00000011677" 6.43033529315754 2.80755430541805 27.0624714173665 1.96985238355527e-07 1.58027870442961e-06 "GABRA3" "protein_coding"
"ENSG00000013016" -2.34421203544851 4.33470527260899 331.696240021843 4.10531837607071e-74 1.65585735966381e-70 "EHD3" "protein_coding"
"ENSG00000013293" 2.9191510229928 2.31112832891382 17.9392186243571 2.28072655110077e-05 0.000121575116786357 "SLC7A14" "protein_coding"
"ENSG00000013810" 1.86368332322959 5.53972410530058 109.489422803399 1.26779225664909e-25 1.12523537184886e-23 "TACC3" "protein_coding"
"ENSG00000014257" 1.80468761511953 2.433851436488 11.0081232079335 0.000907134505211799 0.00332692358796661 "ACP3" "protein_coding"
"ENSG00000014914" 1.82186152356683 7.06489097279124 54.4585693207562 1.58759885002105e-13 3.36239357378145e-12 "MTMR11" "protein_coding"
"ENSG00000015413" 2.41969339828082 1.8708431474238 14.8879781950145 0.000114087732205732 0.000521928010938915 "DPEP1" "protein_coding"
"ENSG00000019169" -4.98045576866803 5.48282199979758 237.587992214714 1.32020611629974e-53 1.77499267510359e-50 "MARCO" "protein_coding"
"ENSG00000021461" -1.5187320284499 5.41920195490871 30.2913404826777 3.717820272878e-08 3.40122464026574e-07 "CYP3A43" "protein_coding"
"ENSG00000022567" 1.94843730276656 6.14233425767736 52.2407425507321 4.90968480587933e-13 9.5003447834875e-12 "SLC45A4" "protein_coding"
"ENSG00000026036" 1.64403512772623 0.287663090767563 37.3061890671791 1.00963683018332e-09 1.18076116535066e-08 "RTEL1-TNFRSF6B" "protein_coding"
"ENSG00000026559" 2.22529795441032 2.00524420039765 16.6103540536695 4.58997570388276e-05 0.000228940256808403 "KCNG1" "protein_coding"
"ENSG00000027644" 4.11391842400101 -0.604053654522161 25.6708133062335 4.04904776072178e-07 3.05899027600336e-06 "INSRR" "protein_coding"
"ENSG00000029559" 7.92472724046437 2.87433499574914 56.2763000839608 6.29698827183982e-14 1.40755524172449e-12 "IBSP" "protein_coding"
"ENSG00000035499" 3.25071505114701 5.43796888372756 117.390417654526 2.35773244702029e-27 2.4736429352394e-25 "DEPDC1B" "protein_coding"
"ENSG00000036448" -2.19603102623064 4.06651724896468 103.312098055937 2.86299693303548e-24 2.25443929861433e-22 "MYOM2" "protein_coding"
"ENSG00000037965" 4.68970850445508 1.21827979746447 17.3476341197564 3.11285545943415e-05 0.000160899567183424 "HOXC8" "protein_coding"
"ENSG00000040275" 1.88129086861537 6.10391593690789 213.754937957925 2.08294814161179e-48 1.57527292684687e-45 "SPDL1" "protein_coding"
"ENSG00000043355" 7.76364716598585 3.69753140345638 176.961021897901 2.23348557449161e-40 7.30430268825405e-38 "ZIC2" "protein_coding"
