ILMN_Gene
DLK1
GPC3
PAGE4
AKR1B10
AKR1B15
SPP1
UBD
SPP1
XAGE1
CAP2
XAGE1A
NQO1
CCL20
CLEC1B
S100P
XAGE1B
SPINK1
CLEC4G
ACSL4
CD34
LYZ
SEZ6L2
DLK1
COX7B2
TOP2A
MMP9
CYP1A2
IGFALS
HGFAC
VIPR1
IRX3
FCN3
DBH
UBE2C
NDUFA4L2
SQLE
MDK
PTH1R
FCN2
ALG1L
NUSAP1
KCNN2
ECM1
CRHBP
AADAT
CD34
RDH5
COL1A2
FOS
MARCO
FCN3
AKR1C3
THY1
ASPG
STAB2
COL4A1
FOSB
BAIAP2L2
PTTG1
ALDH3A1
COL15A1
HAMP
LCAT
PTTG3P
PRC1
TXNRD1
RND3
SCGN
CABYR
IGFBP3
EEF1A2
SRXN1
PGC
NCAPG
PODXL
NAT2
CDKN3
FAM13A
IGFBP3
MUC13
KBTBD11
CPEB3
PEG10
PCDH24
CETP
CTHRC1
LCN2
FAM13A
KIAA0101
MEP1A
MAGEC2
ZGPAT
THBS4
CNDP1
C3ORF32
FAM83D
REG3A
DNASE1L3
CXCL2
COL1A1
AFP
CA12
MNS1
TMEM45B
CDC20
ADH1B
ANXA2
AXUD1
FABP5L2
LAPTM4B
FABP4
PNPLA7
SOCS2
RFX5
BOLA2
M160
TKT
C8ORF4
LOC100133432
PITX1
SLC22A11
CYP39A1
HS.143018
CCNB2
SQLE
UBE2C
CLDN15
ACSM3
ZGPAT
TP53I3
ACTG2
LOC100134266
CD24
ASPM
GADD45B
KLKB1
ANXA2
PLVAP
PCK1
AURKA
TUBA1C
VWF
LAPTM4B
SLCO1B3
SRD5A2
GADD45G
LOC388707
RACGAP1
BOP1
KMO
CAMK2B
C14ORF68
APOF
HBA2
HKDC1
GPR128
TRNP1
S100A10
MGC4677
DHRS2
ADAMTSL2
IDO2
PAMR1
PGLYRP2
MAGEA1
LOC100128098
C20ORF127
S100A10
CYP26A1
PCK1
SNORD13
MCM4
CDCA5
RN7SK
CXCL12
HS.193767
ANXA10
FAM3B
JMJD5
LGALS4
MT1G
GPNMB
CYP2C9
EGR1
PLA2G16
IFI27
ENO3
AURKA
LOC441019
PRAMEF4
RCL1
ADH4
CSRP2
CYP3A43
GHR
APOA5
CDC45L
ATOH8
MT1X
GLDN
IL1RAP
IGF2BP3
NRCAM
SLCO2A1
LRRC1
PANK1
CKS2
G6PD
FLJ37644
MT1E
MTE
C7
RPL15
AFM
PTTG1
FAM189B
ADH4
DLC1
BRSK1
RRS1
SPARCL1
TMCO3
LHX3
HBA2
COL5A2
MTMR11
TOMM40L
SHBG
DKK3
NSMCE2
MASP1
ANGPTL6
ACADS
SULF1
TGM3
ESM1
OIT3
CSAG1
SPARCL1
PTGS2
RAP2A
RNASE1
GGH
C9ORF152
FTCD
MT1A
DKK1
CXCL14
KDELR3
TK1
LYZ
DPT
TXNRD1
CXCL10
SOCS2
ARHGAP10
CKAP2L
LOC134997
LAMC1
CCT3
C8ORF33
UGT1A6
ESR1
MFAP4
LOC392437
LOC728492
GSTZ1
HMMR
TMEM27
MAT1A
CXCL12
NDRG2
IDO2
CSAG3B
LOC649553
PALLD
MT1E
COL8A1
RGS5
LOC646785
RPL29
GLYAT
GLA
C14ORF73
SF3B4
SERPINA11
FOXO1
CD24
GPT2
TFRC
PEMT
RPS7
LOC728208
C10ORF65
TRIB1
RFXANK
FABP5
FAM83H
LAMA3
RFC4
NME1
GMNN
SRPX
CCL15
GPR172A
MYOM2
ANKRD29
GBP2
CENPM
OXT
ATP6V1C1
GNAO1
CCRN4L
CCL14
PHGDH
LOC388654
MMP11
ASS1
MARCKS
CHST4
ZIC2
ILF2
SORL1
LOC554235
OGDHL
SLC1A3
FST
LOC401537
MCM2
TLCD1
FBP1
SSR2
SLC22A10
SNHG6
AP1M2
ASS1
KIFC1
C8ORF47
JCLN
CLDN15
MELK
EVC2
PRO0132
STEAP3
SLC26A6
EPDR1
RAD51
CELSR3
CTNNA1
C8ORF33
CKS2
PBK
BLVRA
IGSF3
RPLP0
FLJ21986
JCLN
AZGP1
MCM3
LYVE1
SQSTM1
ECHS1
LOC440063
CCDC34
C17ORF58
COL4A2
AVPI1
PEX11G
PANK1
NPC1
KIAA0196
DDX39
STARD5
SORL1
CCNE2
TTC36
LOC653498
OIP5
OLFML2B
PSMD4
PEA15
GPAA1
GCDH
HIST1H4H
P4HA2
LOC653158
SULT1C2
CYP2C19
KIF20A
ERRFI1
EPB41L4B
TCEB1
MAP2K1
LOC100131139
RPS21
NEU1
CLIC1
UBE2T
TRPM8
YWHAZ
LOC441506
HSP90AB1
HS.276860
PDZK1
CYP39A1
SMG5
MRPS21
HSPB1
GLYATL1
N4BP2L1
N4BP2L1
HS.184721
STXBP6
BCAT1
CCDC34
NCOR1
FEN1
RPL8
SCNM1
DLGAP5
PSMD4
HRCT1
TUBA1B
AURKB
LOC100129887
ACLY
CEP55
SERF1B
NAT5
ENPP4
PSMD10
PLOD3
PSMD4
PRICKLE4
HSPBL2
HMMR
ALG1L
HJURP
PDE7B
LOC727761
BUB1
CKS1B
TUBA1A
CKS1B
CALCRL
HMGN4
RAG1AP1
TARBP1
GPR128
CKAP5
FANCD2
NME1-NME2
MPZL1
HEY1
GSTZ1
ACLY
LOC648249
ABCC4
PSME3
DUT
CKLF
PIPSL
PPIL1
C4ORF18
XLKD1
LOC341457
MPV17
P4HA2
LOC644464
THOC4
CYP3A43
MGMT
NHP2L1
CLN3
LOC387867
LOC653505
PDCD2L
LOC389141
TXN
ZBTB9
C17ORF58
LOC143941
TMEM189-UBE2V1
FIT1
SLC38A6
LOC439953
XPO5
PIGC
PPIAL4A
ALS2CR4
WDR67
C6ORF173
ZNRD1
XPR1
LOC643856
C12ORF48
TOMM6
NUP37
RSPO3
RANBP3L
RNASEH2A
TTF2
CCDC99
NUSAP1
ECM1
FAM13A
ALDH6A1
C1RL
CTSA
MGAT4B
PSMC4
ETFDH
ENO3
AP3B1
HAO2
LOC341230
CKLF
SDCBP
ST3GAL6
TXN
CYP2C8
COMMD5
RAN
LHX2
NHP2
FXYD1
UCK2
SERPINA11
SERTAD1
GGH
ACADVL
GNE
SOX18
DKK3
SMYD3
ID1
PSME3
GBA3
THOC4
BCHE
NHP2
RPS7
GBA3
PSMD10
OLFML3
MRPS21
HBA1
CDH13
C18ORF10
RCAN1
ADH6
LARS
GNMT
AP1S1
F9
ANKRD43
SCPEP1
UGP2
LAGE3
LOC648705
DTNA
LOC647856
ALDOA
UGT2B10
ABCA9
MICB
NCAPD2
RAB26
CTSC
LOC399942
ABCF2
C6ORF48
COL1A2
HN1
PKM2
CSTB
LBR
GSTA4
TUFT1
PIR
TBCE
FGGY
PHLDA1
ITGAV
LOC644464
H2AFZ
NR4A2
OSTBETA
ZNF786
F11
HSD17B13
LY6E
SLC38A1
CLEC4M
LOC100128266
LOC645452
ACACB
FKBP1A
FAM149A
DNAJC12
ACSM3
ABCA8
TPM3
TAGLN2
RNF165
PSMB9
CYP4A11
RAD51C
TAT
GOLT1B
DCN
COPA
LOC645166
SNORA22
RIPK4
SPON2
DPH2
PZP
NETO2
SRP14
KIAA1618
FTH1
ATAD2
AGL
DNAJC12
CDCA3
KLHL12
PRAMEF9
SDCBP
ANXA2P1
MT2A
SMC4
CRTAP
LOC728208
ENPP2
KIAA1199
LECT2
DBT
NHP2
EVI1
INMT
WNK4
DHRS2
BOLA2
LOC390354
TACSTD2
NAT5
TMSB10
GPSM1
IL32
KDELR3
NOL7
BCHE
PRKDC
SLC2A5
FTCD
DYNLRB1
SGCE
SLC38A4
LOC100131718
DNAJC12
DUT
LOC100129905
MIR1974
LOC402644
GPX2
FLNC
NTHL1
HYAL3
SCAMP3
PLAC8
HMGCL
LIPC
ZNF577
SERPINA4
TMEM209
SLC22A10
MCM7
MAP2
C14ORF153
SIGIRR
LOC728126
HES6
SERF1B
KIF4A
PSMC4
GCKR
HBB
MED20
MPZL1
GPT
SARDH
ODAM
TESC
LSM4
FKBP11
PLA2G4C
GBA
GCDH
CA12
SYPL1
CYP4F12
MLLT11
LOC644863
GABARAPL1
UGP2
MFGE8
FBXL18
SLC38A2
PRSS3
KIAA1881
ZFP36
SKAP1
UGCGL1
ALDH6A1
C1ORF85
NDRG2
SERPINF2
RPLP0
TPM1
EIF2AK4
LOC642956
LOC650157
GMFB
HIST1H2BK
PMPCA
PXMP3
AP3M2
FAHD2B
DNMT1
GINS3
LMOD3
PLA2G2A
SLC25A15
RPL29
SAE1
DEPDC7
IGF2BP2
TUBG1
ATP1A1
GPR1
CTSC
RHEB
PIK3R2
FTHL12
ANLN
VPS72
SCNM1
TPM1
HLA-G
MSX1
NOTCH3
JUN
PIGT
TMEM64
C8ORF59
LOC100130053
C20ORF24
CD58
STMN1
TRAM1
SLC22A10
FAM46A
HLA-A29.1
RQCD1
ACAA1
C21ORF34
SYAP1
COLEC11
XPR1
RAG1AP1
TIGD5
PSAT1
AKR1C4
TMEM154
TRPM8
SLC25A43
MMP7
MT1F
TRMT112
VIM
PIGC
TMEM107
NUP205
RRM2
SLC39A1
GPNMB
CYP4F2
PYGB
PGCP
MGP
ACAA2
PABPC1
EPHA2
TTC13
OTUD6B
LOC644250
MGP
CDCA7
SLC22A1
SERPINE2
ADAM15
GNA12
SNHG7
ADH1C
MCM6
TPM2
PTK2
ACSL3
LOC653489
RPSA
PEMT
FAT1
PPARGC1A
SIPA1L2
GCK
H2AFY
ACOT9
ACACA
LRRC42
BYSL
LOC100134868
LOC399804
CENPA
SP5
SLC7A2
CCT3
NEB
PDZK1P1
LOC731049
KPNA2
NRAS
ITLN1
NR1I2
TUBA1A
LOC100134210
C6ORF125
FLAD1
METTL5
APBA2BP
RPL30
H2AFY
SLC4A5
NLRP8
ID2
ITGB1
ARPC3
MGC40489
ENSA
EXO1
NAAA
GINS2
CENPN
SLC22A18AS
CDA
DTWD2
C8A
TMEM14A
ID2
WDR12
IL17RD
SHARPIN
CDC2
SULT1A1
PTP4A2
LOC730990
CISH
NRCAM
ACSM5
PDK4
SLC25A25
ANKRD37
DCN
VAMP5
CYP3A4
LOC388503
LOC100128288
CDS1
CDH23
COMMD10
BZW2
DUXAP3
GRN
PBLD
RARRES1
CLYBL
DCTN2
ANGPT2
UBE2Q2
DMC1
ENPP2
PROZ
GNPAT
MGC102966
SULT1A1
CDC123
RUNDC2C
STXBP6
C9ORF95
CYGB
PIR
CDC25C
GNPDA1
LOC648921
CIDEB
LRRC37B2
SULT1A2
ATF3
CCT6A
SLC16A3
GARS
ALPP
SLC41A3
TRIM24
IL1RN
SYPL1
LOC388503
SLC22A1
ZBTB16
GCNT3
LOC100134159
TUBA1C
TRIM47
ZNF696
SELM
SNX27
ITGB1
ELOVL5
PRODH2
GPR64
FOXN4
DBNDD1
ATF5
GOT2
S100A8
MT1H
RPS5
KLHL5
CTH
FLJ44124
PRAMEF15
RAXL1
SFN
AP1S1
ALDH2
LY96
BIRC3
NTF3
PDCD6
LOC100128274
DUSP6
C20ORF24
LINGO4
GAL3ST1
KLF6
PTP4A3
FYN
LOC100128266
CDC25C
LOC401152
LEP
CDT1
PSMB4
LOC651816
NEK2
NUP155
IRAK1
LOC100129211
GAMT
EXOSC4
TBCE
CLYBL
SLC27A5
C17ORF90
KIAA0922
ZNF217
CCBE1
CCDC24
SUMO2
ZNF223
ASGR2
RAMP1
CAPRIN1
CS
NAT9
MMP7
LOC400446
HIST2H2AA3
LOC392285
RRAGD
IGF1
RASSF4
HLA-F
G6PC
EPRS
SRP14P1
CD93
G6PC
FTHL8
LIPC
CYR61
AR
IGFBP1
ARMET
GPR88
CCDC125
CRCP
LOC100131989
GCH1
MSRA
TUBB
LOC100132585
SNHG1
ALDOA
LANCL1
CLRN3
ACSL1
PCNA
TXNDC5
SCRIB
PSMA6
MAL2
C20ORF24
USP49
LOC100132727
CYP4V2
CYP2E1
COLEC10
A2M
CSNK2A1
SIK1
APIP
TTC38
ZNF581
LOC729768
ALDH8A1
DKK4
MRPL9
BSG
HS.37648
CALD1
FLJ40722
C8ORF45
BMS1P5
DYNLL1
C20ORF56
SLC25A25
DNCL1
CD163L1
LEPREL1
LOC728290
ACTA2
PECAM1
HGS
CKAP4
SFRS14
HSPA4
CDKN2A
LOC645452
LOXL4
ZNF7
ZCCHC6
UQCRB
TRIM31
INTS8
HSD17B2
MESP1
GRN
PLIN5
ATP2C1
PPP1R15A
PIP5K2B
LOC646996
HCG4
GSTA2
TMEM106A
C5ORF4
LOC729964
NT5DC2
FXYD1
AZIN1
REPIN1
PLCB1
COPS5
PPA2
LOC728903
SPATA18
C9ORF103
PON1
ADA
SNAPC1
HEATR6
HSD17B13
ACSM5
IL18BP
LOC255167
LOC100128098
ANXA2
C1QTNF1
TRIM24
UBA52
HMGA1
LHPP
TOMM40
OBFC2B
DEM1
LARP1
LPA
AKR1C2
KLF6
WDR72
ITGA6
PON2
VCAN
HSPC268
LEF1
LOC400578
C9
SCAMP3
C6
UGT1A6
YWHAH
LOC347544
TMEM198
TSC22D3
AQP12A
MPV17L2
LOC650515
XK
LOC440731
POLR3C
GRAMD1A
RGN
PLGLB1
LOC392871
NNMT
SPHK1
FAM175A
FTHL16
GTSF1
ZNF738
YEATS2
CLTA
FAM65C
RHOC
HABP2
CFL1
LDHD
PKIB
CSAG3A
SPP2
OAT
CD36
ASNS
BRP44L
LOC90586
TMEM82
FLJ35390
TMEM106C
MELK
PPAP2A
LOC642489
LOC653086
COPE
SERPINE1
VPS28
AQP8
AXIN2
C9ORF127
TMEM119
NHP2
CSF3R
LQK1
HLA-H
LIX1L
C8ORF55
ACAD11
ODC1
PSPH
BARD1
SIK1
TPM2
HLA-H
TTC13
LOC643997
LOC440927
CANX
LOC654103
CHN1
PRAME
RRP15
ESM1
IRF8
C10ORF33
SNRPC
ZNF682
LOC100133516
OAT
KCTD6
DUSP1
LOC400879
DAD1
RHBG
MXD3
IGFBP1
FKBP1A
ICA1
LOC100128510
BAIAP2L1
CNIH4
GPSM2
CDC25B
COMMD2
ETS2
DARS2
GLYAT
HIST1H2BK
IARS
LOC401098
SNRPB
SHROOM4
BRP44L
CCT6P1
CYP26A1
IKBKG
PDCD2
TYMS
NAAA
LOC389765
SOD2
EVI5
HIST1H2AC
PKM2
SDCCAG10
SULT1A4
N4BP2
PGCP
HSP90AA1
LOC390251
LOC285053
LOC729120
ILF3
LOC100129502
APIP
PRKCD
EGR2
GBA
LOC286444
LOC100129905
LOC391833
ZNF652
RFC4
LOC440925
CSE1L
KLHDC8B
JUNB
C17ORF58
WFDC2
PFKFB4
BMP4
ZYX
WDR12
FGB
FAM99A
RPE
CA5A
FBXO32
TIMELESS
RGN
HNRNPU
STC1
ADRA1B
CS
RPLP1
PAH
FAM133A
SMAGP
HABP4
ACADSB
CENPF
HTATIP2
VIM
ZWINT
BCAT2
MGC87042
ZNF746
CSF2RA
INTS6
LSM2
CETN2
SERPINA5
ABCC4
LOC728666
FAT1
DENR
EBF1
RPL8
CCDC86
TUBG1
SOX9
SORT1
FAM73A
CACYBP
TAGLN2
ACSM2A
ENSA
C3ORF34
PCYOX1
IDUA
CDK4
CSE1L
SNX5
LASP1
LOC652322
UHRF1
PIK3R1
ECHDC2
PRSS8
PGD
PLAC8
NINJ2
TSPAN8
PSMC2
FAM134B
TRIM13
EFEMP1
C4ORF18
GMPS
G6PD
TRPM4
RBM34
AKR1D1
RIPK2
FLJ20699
RAB11FIP1
SAT2
TCEB1
GSTA2
COBLL1
EIF2B2
CREB1
BOLA3
TDP1
SOD2
PHPT1
STAMBPL1
GLS2
IL32
NPW
DNAJB11
FOLH1
CD74
KIF2C
SORBS2
MPP6
MID1IP1
VARS
EPPB9
HLTF
DLGAP5
KRTCAP3
SHC1
TMEM136
SULT1C2
PDCD5
DEPDC7
LOC653829
CAMK2B
CHD1L
SPCS1
RICH2
C7ORF68
PBLD
MAD2L1
ALPL
LOC100130835
GRIPAP1
NUBPL
BPGM
C19ORF48
C1ORF198
C5ORF28
STT3B
LOC647000
C1R
CAPN13
RPL7
CYB5D2
ATP6V0E1
ALG1
MMD
KIAA1751
TFPI
CEACAM1
DONSON
LTBP4
MBL2
KCNJ8
UGDH
ABCC6
LOC653888
ZCCHC24
RCAN1
ADRA1A
IL1RN
IVD
TAP2
LOC730029
LOC391075
TMEM161A
THBS1
HEXB
C11ORF17
WFS1
ZSCAN16
ACADVL
RAB17
ZNF483
RPS24
ATP6V1F
DCXR
ZNF512
LAMP2
SEC61G
C20ORF199
C2ORF69
VNN2
IL10
CAT
GNG10
PLGLA
SLC25A39
TEAD2
PIK3CB
ZNF69
BOLA3
PON3
BCAP29
SLC39A5
TSTA3
ZNF207
GPR4
GPR125
SULT1A4
PDZK1IP1
ACTL6A
LOC728809
HM13
PNPT1
BLZF1
PAG1
MPDU1
PPARG
CASP3
SULT1A2
SOAT2
CALU
TMPRSS2
MGC42367
PPP1R11
LOC284422
PDZK1
SLPI
NIN
MSC
PARP12
GYG1
LOC644315
NIPAL1
MCM3
HS.542993
MTP18
AGXT
DAPP1
RPL6
AMDHD1
PI3
CD14
PTH2R
RHOB
BDH1
PSMD14
TMEM9
MTERFD1
NDEL1
VPS45
SNHG7
C8B
ANKRD30B
RHBDF2
PTP4A2
RDH16
HLA-DMA
NAP1L1
CLTA
LOC644322
EIF4G2
RPL39L
AGPAT9
LOC100130886
GNB5
TMEM86B
DUSP19
LOC649076
HIST1H2BD
PPT1
CHRNA5
MAP4K4
FADS1
G3BP1
TBX15
SNRPB
ATP1A1
HLA-A
FAM102A
CPLX1
TMEM16A
SDS
STAM
MAP1S
LOC285016
NSF
ADK
ADAM15
SLC6A16
C8ORF76
SEZ6L2
LOC653162
TNFRSF21
FGL1
DAP3
PXMP2
SAA1
SEC61G
LOC340274
TDRD1
LOC341315
AGL
ONECUT2
MRPL13
WDR74
CYCSL1
SSR1
LOC92755
DUT
EEF1E1
DDX51
TRIM37
ECE2
RARRES1
TUBE1
ICK
KLF11
SNRPD2
ZNF792
LOC100128410
ZCCHC17
PPP1R1A
LMNA
ADAR
DBNDD1
C8ORF38
FERMT2
DNAJC9
C19ORF48
RCN2
BCL2L12
CA2
LPPR1
C16ORF59
EMILIN2
CDH11
C14ORF85
CDC25A
WASF2
LOC645277
HIST2H2AC
BRIX1
ASL
CCT7
TMEM137
LOC728666
PRND
CDK5RAP2
TATDN1
CTSK
STEAP1
UBE2A
LOC100133772
TACC3
COPE
ZNF323
OSTM1
FASN
PDGFRB
EIF3H
IFI30
CD151
PAFAH1B3
CLEC14A
TTC37
RPL17
MFAP1
BANF1
SNORD3D
TCEA1
VNN1
HAL
DNALI1
LOC728368
PJA1
EFNB2
ASAP1
ADAMDEC1
FLJ36131
RFXANK
CCT2
SDHALP1
NKD1
FKBP1A
PRDX1
THBS2
LOC729926
MAF1
C5ORF32
HCP5
SLC19A3
MAN1C1
MTERFD1
HAO1
FAM124B
TSPAN10
