Gene Symbol
GUCA1A
ADAM32
SPATA17
CCDC65
CCDC65
FAM122C
CCDC11
MCMDC2
SCIN
CTCFL
C4orf33
C4orf33
RDH10
SRSF12
GAPT
ENTHD1
ENTHD1
BACH1 /// GRIK1-AS2
ODF4
DEFB106A /// DEFB106B
CALR3
KLHL10
WDR17
ANKAR
MEGF11
WDR88
PRUNE2
ADAMTSL1
MBD3L1
FAM46D
SERPINB11
LINC00161
PTPRC
BNC1
MPP4
RHBDL2
CPA6
WBP2NL
TIGD4
ATP6V1C2
CLEC4C
ZDHHC15
AF131215.4
NUDT9P1
TSPEAR
MIPOL1
MYO3B
ABCC13
GTF2A1L
CNBD1
CNBD1
MMP21
PTPN11
PCDHGB7
LRRC7
DIRC1
DNAJB7
ARL11
ARL11
DUSP19
CREG2
RXFP1
FGF1
ARPP21
ABRA
RICTOR
NETO1
C2orf15
KCNH8
PP2D1
CADM2
HDAC9
HDAC9
TMEM67
TMEM67
HS6ST2
LIN9
ZNF417
ZNF781
TRDN
SOCS4
ZNF547
PROM2
ADAMTSL1
RFX4
NXNL2
BRS3
TMX3
SLC26A7
DENND1B
ICK
FAM71D
BCL2L14
M1AP
ZSCAN4
ZSCAN4
MAGEB6
AXDND1
CD200R1
ATOH7
ANKRD30BP2
KCNG3
KCNG3
LINC01312
LINC01312
NETO1
FMR1NB
GCSAML
IL23R
MAGEB18
C4orf36
RIMS1
GRK7
AKNAD1
ANGPT1
GABRG1
ZNF114
C15orf26
ZMYM6
SGCZ
LOC100507431
LINC00471
LOC439933
C11orf65
FAM71E2
DYDC1
DEFB105A /// DEFB105B
PKD1L1
SMCR5
ZIM3
DAOA-AS1
IL31RA
GPR111
WFDC13
ASB11
OFCC1
OFCC1
CSN1S2AP
STARD6
C11orf40
DEFB119
CLSPN
SLC39A12
RNF168
SVEP1
C9orf72
ANKLE1
PELO
C3orf30
RANBP3L
SH2D1B
ADAMTS19
UMODL1
DST
ZNF441
ZNF441
STOX1
CCDC7
LUZP1
CCDC89
FANCB
ZNF709
SMC1B
MAGEE2
ALS2CR11
ALS2CR11
CNOT6L
DIP2B
ZNF560
RTTN
RAD9B
ABCA13
C17orf77
DUSP5P1
PLB1
C20orf197
SLFNL1
GPR82
CDC14C
RXFP2
SSMEM1
SSMEM1
PCDH15
LINC00889
DNAH6
DEPDC4
AXDND1
PARP15
ARHGAP42
CXorf58
EFCAB3 /// LOC102724660
TFAP2B
MRGPRX1
ADAMTS20
SLC17A8
SATB2-AS1
C12orf40
LY86-AS1
CCDC171
CYP4Z2P
AQP4-AS1
CNTNAP4
LOC100996634
FLJ34503
LINC00304
RPTN
FAM9B
DNAH17
SLC35G3
LOC100288966
C15orf32
LINC00477
TDH
LINC00615
LINC00314
DGKB
TAS2R40
TAS2R50
IFNE
SPAG11A /// SPAG11B
SYCP3
ABCA13
ABCA13
BACH1 /// GRIK1-AS2 /// LINC00189
FLJ25694 /// LOC101929344
TRIM42
FAM98B
C10orf107
TMCO5A
CCDC141
C18orf54
C18orf54
SYT14
HUS1B
CCDC34
LRRIQ3
CCSAP
CCSAP
FAM218A
FAM218A
RNF152
TBC1D32
ZFC3H1
IRAK2
OTOGL
MGC16025
MCM9
KLHL32
GK5
UBE2U
ZC3HAV1L
KIAA1109
KIAA1109
LINC01105
FBXL13
FAM227B
NKX2-3
KIAA1524
FAM222A-AS1
RTP1
CYP1B1-AS1
COL6A5
COL6A5
CCDC26
SPIC
TPH1
GPR26
KIAA0825
SESN3
SAMD3
GOT1L1
LINC00504 /// LINC00504 /// MGC4836
ZNF99
