Gene Symbol
GUCA1A
ADAM32
SPATA17
BEST4
CCDC65
CCDC65
FAM122C
CCDC11
MCMDC2
SCIN
SCIN
CTCFL
C4orf33
C4orf33
RDH10
SRSF12
GAPT
ENTHD1
ENTHD1
BACH1 /// GRIK1-AS2
ODF4
DEFB106A /// DEFB106B
KLHL10
ZNF485
WDR17
ANKAR
MEGF11
ESX1
C8orf12
LOC653486 /// SCGB1C1
WDR88
PRUNE2
ADAMTSL1
MBD3L1
FAM46D
SERPINB11
LINC00161
PTPRC
BNC1
MPP4
LACE1
RHBDL2
CPA6
WBP2NL
TIGD4
ATP6V1C2
BSND
CLEC4C
NLRC4
ZDHHC15
AF131215.4
NUDT9P1
MIPOL1
MYO3B
ABCC13
ABCC13
GTF2A1L
CNBD1
CNBD1
ABCC12
MMP21
PXT1
LINC00308
JMJD6
PTPN11
PCDHGB7
LRRC7
RFX6
DIRC1
DNAJB7
ARL11
ARL11
SLC2A13
DUSP19
CREG2
RXFP1
FGF1
ARPP21
ABRA
ABRA
RICTOR
NETO1
ST7L
C2orf15
KCNH8
SLCO6A1
PP2D1
CIB3
CADM2
CADM2
C9orf66
HDAC9
HDAC9
TMEM67
TMEM67
HS6ST2
LIN9
CLEC4D
SLC44A5
ZNF417
ZNF781
TRDN
SOCS4
ZNF547
PROM2
ADAMTSL1
RFX4
NXNL2
BRS3
TMX3
SLC26A7
SLC26A7
FBXO39
DENND1B
ICK
FAM71D
BCL2L14
M1AP
ZSCAN4
ZSCAN4
MAGEB6
LOC101060464 /// LOC101929858 /// LOC101930165 /// LOC101930171 /// TCEB3C /// TCEB3CL /// TCEB3CL2
AXDND1
CD200R1
LINC00334
ATOH7
ANKRD30BP2
KCNG3
KCNG3
LINC01312
LINC01312
NETO1
FMR1NB
GCSAML
IL23R
MAGEB18
C4orf36
RIMS1
GRK7
AKNAD1
ANGPT1
GABRG1
ZNF114
ZNF114
C15orf26
B3GNT7
ZMYM6
ZMYM6
SGCZ
LOC100507431
LINC00471
LOC439933
C11orf65
FAM71E2
DYDC1
PKD1L1
GPR112
CNTNAP5
SMCR5
ZIM3
DAOA-AS1
GPR126
IL31RA
GPR111
PGLYRP3
OFCC1
OFCC1
SDR9C7
CSN1S2AP
STARD6
C11orf40
DEFB119
CLSPN
RBAK
SLC39A12
RNF168
SVEP1
C9orf72
ANKLE1
LACC1
C3orf30
RANBP3L
ATP6V0D2
LRRN4
PDE5A
SH2D1B
ADAMTS19
UMODL1
DST
ZNF441
ZNF441
STOX1
KRT78
CCDC7
LUZP1
CCDC89
FANCB
ZNF709
SMC1B
MAGEE2
ALS2CR11
ALS2CR11
CNOT6L
DIP2B
ZNF560
RTTN
RAD9B
MRGPRX3
ABCA13
C17orf77
DUSP5P1
TMEM182
PLB1
C20orf197
SLFNL1
GPR82
GPR82
OXGR1
CDC14C
RXFP2
BEND7
SSMEM1
SSMEM1
LOC285696
PCDH15
LINC00889
DNAH6
DEPDC4
EPHA10
WDR64
PRO2949
AXDND1
HEATR9
PARP15
ARHGAP42
ATG9B
CXorf58
EFCAB3 /// LOC102724660
TFAP2B
CRHR1-IT1 /// MGC57346
MRGPRX1
ADAMTS20
SALL3
SLC17A8
CNTNAP5
SATB2-AS1
SLFN13
C12orf40
LY86-AS1
CCDC171
CYP4Z2P
MUC19
AQP4-AS1
CNTNAP4
CNTNAP4
FER1L6-AS1
LOC100996634
FLJ34503
LINC00304
MYO1H
RPTN
FAM9B
DNAH17
SLC35G3
LOC100288966
C15orf32
LINC00477
C17orf78
TDH
LINC00615
