gene_name
MYH16
AOC1
DBNDD1
MTMR7
ZMYND10
HOXA11
MEOX1
YBX2
ABCC8
TMEM132A
CACNA1G
DLX6
CCL26
TBXA2R
SCIN
MYH13
SCN4A
PAX6
E2F2
CAMK1G
ADAM22
CELSR3
PGLYRP1
MAPK8IP2
IYD
GIPR
CD4
FMO1
SLC6A7
DPF1
ANLN
GABRA3
EHD3
SLC7A14
TACC3
ACP3
MTMR11
DPEP1
MARCO
CYP3A43
SLC45A4
RTEL1-TNFRSF6B
KCNG1
INSRR
IBSP
DEPDC1B
MYOM2
HOXC8
SPDL1
ZIC2
ADRB1
MAGEC2
ANO2
COL9A2
UTS2
RAD51
POLQ
FSTL4
NNAT
MCF2L2
PTPRN
KCNH2
MCOLN3
NPFFR2
RASGRF1
CAMK2B
LTK
NGFR
BCAS1
GLP2R
MCM10
SNAP91
SLC9A3
CLDN18
PRR11
PITX1
TRPC7
DRD4
HES2
GUCY2C
FGF22
ASNS
CNGB1
CAMK2A
OSBPL3
ARHGAP10
TRIP13
ADGRL1
SPEG
CYP2W1
MCM2
ADAM11
NOTCH3
PPP2R2C
CDHR2
GTSE1
CACNG4
WDR62
UBE2T
PAK3
DCX
SPAG6
TYR
SMC1B
MAP2
FAP
HOXA9
MYH7B
TP73
CLUL1
DUSP13
RDH8
CHRNA3
KCNN2
NDC80
CACNA1S
MPP4
SERTAD4
SEMA5B
WNT11
TTC39A
ORC1
RAD54L
AQP6
PPEF1
CETP
MT3
GNAO1
PHACTR3
GP6
DNMT3B
FER1L4
DOCK3
TMEM40
SLC4A11
CPXM1
CFAP61
FXYD3
KCNH4
OTUB2
KIF4A
LAMB4
IL5RA
SMPX
PITPNM3
ORC6
CD200
RNF31
WDR76
CLSPN
CDC45
CDC6
DHPS
TLL2
CYP26A1
SMIM24
TREM2
CDC7
IGFALS
MISP
HCN2
IGF2-AS
MMP11
SLC7A4
SLC16A8
CENPM
SEPTIN3
SLC5A1
DMC1
RSPH14
MIOX
CHKB
BIK
RASD2
CABP7
CACNA1I
PVALB
UPK3A
KCNK10
COCH
POLE2
CDKN3
GSTZ1
ISM2
SIX4
BDKRB1
MMP9
VSX1
GINS1
MYBL2
R3HDML
PABPC1L
SALL4
BMP7
SPEF1
SLC52A3
RPS10P5
RSPO4
MYLK2
FERMT1
TLDC2
OXT
E2F1
CST4
FAM83D
SYNDIG1
RNF125
NOL4
SYP
LUZP4
PCSK1N
PHEX
GPR50
BRS3
FGD1
CENPI
DRP2
SGCG
HSF4
CBLN1
NDRG4
SMPD3
SLC7A6
HAGHL
RHBDL1
AQP8
RASL12
ACSBG1
IGDCC4
SCG3
OIP5
PDGFRL
SFRP1
JPH1
DHDH
TUBB4A
CKM
KLC3
AMH
DKKL1
CLEC4M
LILRA1
ASF1B
TNNT1
ZFR2
APLP1
CEACAM4
ICAM5
CNFN
SYNGR4
CCDC114
LILRB5
SLC5A5
KCNN1
PDE4C
COMP
UPK1A
MAG
TMEM59L
TFPI2
DLX5
STEAP1B
WNT2
HOXA3
HOXA6
ANKRD7
HOXA13
CPED1
EVX1
STX1A
CRHR2
GHRHR
NSUN5P2
NUDT1
CLDN15
EZH2
POU6F2
LHX2
ELAVL2
KCNT1
CA9
LHX3
GATA3
CXCL12
TLX1
KAZALD1
CPEB3
EBF3
UBE2S
LGI1
RUNDC3A
CSF3
ASPA
CDK5RAP3
CNTNAP1
DLX4
SGCA
CACNG1
EFNB3
RCVRN
MYH1
CWH43
UCP1
AADAT
NEIL3
NKX3-2
HGFAC
NCAPG
SNX15
FOLR1
PTPN5
ASIC1
SYT10
CYP27B1
GSG1
OGFOD2
FZD10
CDCA3
ULBP1
FANCE
IL17F
MDGA1
GLP1R
BACH2
CAP2
TSPO2
GPR63
SIM1
HDGFL1
COL9A1
MDFI
PTK7
TTK
PRSS16
PCDHB2
KIF20A
LOX
CDH9
PCDHB3
HAVCR1
RASGRF2
SLC27A6
DBN1
UNC5A
PFKFB4
ECT2
GNAT1
PODXL2
CSPG5
VIPR1
TNNC1
SLC4A3
CENPA
INO80B
TLX2
OTX1
PLCD4
WNT6
IL1RL1
TPO
DLX2
KISS1R
ARID3A
VAX2
TNR
DNAJC6
AMPD1
TFAP2E
KMO
ST6GALNAC5
MFAP2
ACTL8
CD160
CDC20
ARTN
MROH9
FMO6P
TNFSF4
PLPPR4
MAN1C1
NEK2
CHRNB4
ZNF541
SLC8A2
KIF14
CNR1
TCF21
PMFBP1
FGF23
